Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
C,26,-1514,8480918.88,24185816.4,10976426.2,-0.000251183051
C,27,-1514,-3445585.92,-15690222,22799259.5,0.000273156318
C,28,-1514,15296571.1,-14381162.8,18390681.4,0.00020786583
C,29,-1514,-27493862.8,4598997.7,-1239007.23,0.000243660803
C,30,-1514,-21375505.3,-8352872.56,15851972.4,-2.69482316e-05
C,32,-1514,1276406.64,-24676447.3,-12936124.3,-0.000569753083
C,33,-1514,18147259.3,-8986069.35,19200351.6,-0.000949975403
C,34,-1514,22521932.8,7468259.12,-14720106.9,0.000372360403
C,35,-1514,-14805941.2,14986371.3,-18292785.7,0.000430383528
C,36,-1514,-19704097.5,-3165254.78,19523648.6,-1.00577998e-05
C,37,-1514,-7585358.31,-24346614.6,-11362426.2,-0.000937303154
C,38,-1514,-6646419.03,31464038.9,-27138977.5,0.000137686829
C,39,-1514,-17998008.8,19963961.7,32485224.6,-7.16901521e-06
C,40,-1514,-23880904.4,33913161.5,-8333639.3,-5.71099961e-05
C,41,-1514,14160558.7,-23517017.7,5035146.26,-0.000892873952
C,42,-1514,11628183.5,11617753,22602324.5,-0.000453238854
C,43,-1514,27637220.3,-3953237.16,320525.787,6.09718076e-05
C,44,-1514,3915205.02,15733047.5,-22728046.6,0.00038870265
C,45,-1514,-8534467.43,14971728.1,21934025,-7.09497594e-05
C,46,-1514,-19450839.2,-18912280.7,6614898.01,-0.0001249487
C,59,-1514,-32319042.5,26951947.8,-2716898.5,-1.39294909e-07
C,60,-1514,7347856.13,41282784.1,-4374948.43,-2.23834502e-07
C,62,-1514,-39631510.7,14402615.3,-776828.98,2.43434523e-07
C,1,-1214,-34323824.2,24244730.8,-3316533.64,0.000885076491
C,2,-1214,4486221.48,41844008.1,-3057709.7,0.000440187961
C,3,-1214,-14733069.3,39325198.1,-3964172.83,-1.74923954e-05
C,4,-1214,-39609839.2,14155862,-2641520.09,0.000835279414
C,5,-1214,21902523.5,35963080.2,-2088782.04,-0.000746265488
C,6,-1214,-8913195.31,23169983.8,34111203.9,0.000119295934
C,7,-1214,-16090594.8,38002827.1,-9051446.16,-0.000823985897
C,8,-1214,-372796.444,35379682.3,-22758236.5,2.75201554e-05
C,9,-1214,1029302.86,25398470.9,34154975.7,-0.000509066967
C,10,-1214,-10215056.7,38335134.8,-14717406.8,7.93283091e-05
C,11,-1214,26573955.6,2911553.38,-7930437.99,0.000417896058
C,12,-1214,12423017.6,12995048.1,-21304962.5,0.000766654921
C,13,-1214,5706486.32,38709683.1,-15155681.2,0.000418566092
C,14,-1214,15880097.6,2257885.09,22847102.3,0.000221615419
C,16,-1214,-11593720.8,21947907.9,34314392.2,-0.000347931035
C,19,-1214,-17934741.8,8424790.14,-19631624.9,-0.000925547114
C,20,-1214,-12174875.4,-10631552,-22729783.4,-0.000176383711
C,21,-1214,-1588363.28,25038349.3,12265729.4,-0.000961886427
C,22,-1214,-13777290.2,23747689.3,-5076702.4,-0.000104600846
C,23,-1214,9210335.55,-14315187.9,-22119201.9,-0.000780205922
C,24,-1214,19290666.4,19549851.7,-4888445.29,0.000897365228
C,25,-1214,19977705.2,2738273.71,-19297144.8,0.0003295526
C,26,-1214,8203762.35,23905333.2,11772058.5,-0.000251184865
C,27,-1214,-2666493.49,-15775005.9,22845472.9,0.000273157841
C,28,-1214,15916094.7,-14422906,17823467.7,0.000207867123
C,29,-1214,-27526023.1,4561971.18,-311614.607,0.000243662303
C,30,-1214,-20830184.9,-8462391.06,16506687.7,-2.69497067e-05
C,32,-1214,1465264.85,-25064076.4,-12147631.5,-0.00056975489
C,33,-1214,17898703.2,-8367807.51,19707059.4,-0.000949976351
C,34,-1214,22015865.7,7573330.86,-15415396.1,0.000372362892
C,35,-1214,-15420801.7,15048097.8,-17723830.2,0.000430380813
C,36,-1214,-20076830.6,-3711714.56,19041723.5,-1.00536903e-05
C,37,-1214,-7308990.06,-24049600.2,-12148043.4,-0.000937303962
C,38,-1214,-6516484.9,31058340.5,-27634131.9,0.000137687423
C,39,-1214,-18383632,20047189.8,32213120.1,-7.16907361e-06
C,40,-1214,-23643756.1,34253186.2,-7589236.35,-5.71102911e-05
C,41,-1214,14110570.2,-23335856.3,5946562.96,-0.000892875602
C,42,-1214,11319498.4,12320377.9,22386271.2,-0.000453237741
C,43,-1214,27639250.8,-3907960.46,-603592.764,6.09723047e-05
C,44,-1214,3144255.59,15846755.7,-22767808.3,0.000388706099
C,45,-1214,-8993597.33,14369652.6,22152745.5,-7.09505254e-05
C,46,-1214,-19539483.5,-19110283.6,5727959.9,-0.000124949604
C,59,-1214,-32321047.5,26951904.9,-2691524.33,-1.3925093e-07
C,60,-1214,7343092.22,41277943.2,-4426081.16,-2.2385516e-07
C,62,-1214,-39631051.7,14409257.1,-670922.44,2.43424175e-07
